"salesorderkey","orderdate","customerkey","customerfirstname","customerlastname","customeraddress","customercity","cusotmerstate","customerzipcode","customercountry","socialmedia","totalsale","currencykey"
"1271635200000-63390777","2010-04-19T14:48:00Z","1223683200000-371","Ciara","Gentry","330-6143 Turpis Ave","Lawton","OK","12925","USA","dabbaren","5764.57","1"
"1250985600000-128666974","2009-08-23T08:26:00Z","1229472000000-429","Branden","Snow","887-5002 Nec Ave","Little Rock","AR","72501","USA","AlexSchwerin","4923.49","1"
"1189728000000-119276164","2007-09-14T01:48:00Z","1221868800000-607","Kibo","Best","P.O. Box 200 5134 Vitae St.","Augusta","GA","19171","USA","AlcantarEmily","8386.59","1"
"1150416000000-53365443","2006-06-16T02:13:00Z","1351728000000-35","Scarlett","Huff","P.O. Box 293 6109 Lacus Street","Fort Smith","AR","72895","USA","TheMindOfClint","11157.52","1"
"1232064000000-111378625","2009-01-16T16:20:00Z","1255219200000-493","Fuller","Gilbert","5068 Adipiscing Street","Ketchikan","AK","99717","USA","Genusfoljaren","4523.43","1"
"1319068800000-38345151","2011-10-20T17:31:00Z","1242345600000-546","Macey","Mcdaniel","P.O. Box 766 5230 Lacinia. Street","Tucson","AZ","85562","USA","PolarityBrandon","3818.48","1"
"1403568000000-138404782","2014-06-24T04:56:00Z","1245369600000-438","Kennedy","Spencer","881-8152 Egestas Rd.","Allentown","PA","19668","USA","Loizzu__Poidyo","5969.97","1"
"1186790400000-122257022","2007-08-11T01:02:00Z","1118966400000-352","Hedley","Miranda","Ap #613-9757 In Street","Iowa City","IA","51201","USA","ekshaneesh","5278.95","1"
"1360022400000-177602976","2013-02-05T01:48:00Z","1105833600000-565","Ebony","Sargent","P.O. Box 462 1745 Mi Ave","Flint","MI","87152","USA","zeyneputah","4514.43","1"
"1262649600000-256433380","2010-01-05T17:27:00Z","1143504000000-259","Gusty","Rasigade","147 Colonial Beacon Cl","Kinston","NC","28501","USA","Santiiiibaby","8243.42","1"
"1301443200000-10843687","2011-03-30T04:53:00Z","1135814400000-529","Lucile","Chambriard","119 Clear Beacon Pl","Galveston","TX","77553","USA","GabbyDabbyDoo","3725.65","1"
"1366848000000-96262634","2013-04-25T07:24:00Z","1229126400000-20","Gage","Kent","3641 Euismod Avenue","Chattanooga","TN","10769","USA","kinphanng","4853.35","1"
"1183507200000-243619836","2007-07-04T14:39:00Z","1236124800000-299","Robert","Boyer","Ap #867-9274 Suspendisse St.","Aurora","IL","89062","USA","vk2rei","7836.34","1"
"1262390400000-94603689","2010-01-02T20:27:00Z","1198454400000-25","Alvin","Stark","313-6223 Ridiculus Street","Lansing","MI","35809","USA","kkadiraloglu","5327.6","1"
"1403568000000-143997294","2014-06-24T18:38:00Z","1298505600000-432","Igor","Alvarado","Ap #855-4978 Ante Rd.","Gulfport","MS","63752","USA","gastonblanda","9422.53","1"
"1403136000000-140764498","2014-06-19T02:36:00Z","1219276800000-90","Arden","Beach","Ap #243-7686 Aenean Street","Kenosha","WI","46610","USA","Oykuovic","4540.31","1"
"1135987200000-162362338","2005-12-31T08:09:00Z","1340236800000-285","Haviva","Sweeney","5261 Lacus. Ave","Norfolk","VA","32817","USA","Meecwo__Loorgu","9779.34","1"
"1318032000000-49403686","2011-10-08T22:54:00Z","1117238400000-63","Paul","Farley","P.O. Box 121 3022 Diam. Avenue","Worcester","MA","61308","USA","OMGISTHATWICKD","8627.66","1"
"1219017600000-203161238","2008-08-18T16:30:00Z","1260057600000-282","Jennifer","Nouant","93 Fallen Brook Dr","Chicago","IL","60607","USA","Werionae","7255.81","1"
"1264896000000-10926825","2010-01-31T17:50:00Z","1312502400000-282","Larissa","Adkins","Ap #424-766 Pharetra Rd.","Baton Rouge","LA","12268","USA","kevcouk","6179.98","1"
"1388793600000-192283641","2014-01-04T01:44:00Z","1114992000000-109","Palmer","Oconnor","344-526 Amet Av.","Salt Lake City","UT","18437","USA","samsunnnnnnnnm","5339.95","1"
"1112227200000-122030851","2005-03-31T08:10:00Z","1158278400000-368","Arsenio","Gibbs","P.O. Box 992 8216 Lacinia Rd.","North Las Vegas","NV","51632","USA","techXOmedia","5645.35","1"
"1212537600000-232072763","2008-06-04T12:59:00Z","1156204800000-208","Carol","Ford","889-7822 Adipiscing St.","Clarksville","TN","13744","USA","colleenpence","9471.35","1"
"1415836800000-14414264","2014-11-13T09:08:00Z","1133827200000-221","Tasha","Meyer","Ap #962-4833 Mi Rd.","Boise","ID","41098","USA","naeryth","6708.95","1"
"1262649600000-125230580","2010-01-05T22:21:00Z","1233532800000-120","Quail","Sutton","P.O. Box 926 5488 Ut Rd.","Provo","UT","10766","USA","805jennifer","3990.06","1"
"1147996800000-113144280","2006-05-19T03:57:00Z","1123632000000-152","Lorena","Boulgakoff","66 Blue Beacon Dr","Massillon","OH","44646","USA","SavingUGreenMom","7673.37","1"
"1325289600000-2603652","2011-12-31T06:53:00Z","1230508800000-467","Gemma","Freeman","620-1253 Gravida Road","Bear","DE","53213","USA","mdock84","6336.58","1"
"1147996800000-125857121","2006-05-19T04:23:00Z","1196985600000-123","Todd","Hart","P.O. Box 153 634 Amet Road","Bellevue","WA","78169","USA","uzadevim","8231.15","1"
"1192924800000-75368381","2007-10-21T19:56:00Z","1269475200000-240","Darrel","Spence","Ap #836-5459 Felis Road","Iowa City","IA","51988","USA","ALBERTOCESA","6502.63","1"
"1232064000000-83172999","2009-01-16T13:51:00Z","1383955200000-429","Renee","Velazquez","P.O. Box 247 4990 Faucibus Rd.","Gary","IN","10072","USA","ferelpapa","5802.33","1"
"1415836800000-179823342","2014-11-13T12:46:00Z","1212019200000-132","Uriel","Acosta","8562 Imperdiet Avenue","Detroit","MI","63569","USA","Haacwa__Paajpa","5374.64","1"
"1319068800000-192551439","2011-10-20T18:42:00Z","1261958400000-200","Leo","Nichols","P.O. Box 343 8461 Porttitor Rd.","Burlington","VT","72274","USA","G_heaven","6269.08","1"
"1210291200000-158059847","2008-05-09T01:15:00Z","1108080000000-8","Jessamine","Gardner","P.O. Box 881 4337 In St.","Lansing","MI","96150","USA","lafrette_","6556.79","1"
"1271635200000-153265194","2010-04-19T22:13:00Z","1198368000000-555","Brady","Frank","992-6320 Sem Ave","Kailua","HI","14426","USA","MBuhring","7477.33","1"
"1300665600000-94358928","2011-03-21T13:05:00Z","1126310400000-364","Rosalyn","Hood","6033 Elit Av.","Auburn","ME","53911","USA","Anbashe","3716.85","1"
"1348531200000-217245481","2012-09-25T21:23:00Z","1253318400000-281","Coby","Finley","30 Amber Berry Crn","Passaic","NJ","7055","USA","dorastechworld","6338.98","1"
"1390521600000-33769748","2014-01-24T23:53:00Z","1150329600000-315","Aubrey","Barnett","Ap #697-8837 Phasellus Rd.","Fort Wayne","IN","80480","USA","cannoncocker93","6250.37","1"
"1132790400000-228447674","2005-11-24T13:56:00Z","1180396800000-522","Axel","Little","Ap #114-5092 Elementum Avenue","Saint Louis","MO","17322","USA","ll_linn","7776.67","1"
"1124409600000-162366812","2005-08-19T18:00:00Z","1150156800000-309","Whilemina","Dillon","5212 Arcu. St.","San Antonio","TX","42674","USA","CliffHolifield","5545.06","1"
"1212537600000-33299580","2008-06-04T01:07:00Z","1349913600000-530","Illana","Watkins","P.O. Box 253 4955 Consequat Avenue","Independence","MO","31266","USA","HaleeDawn87","3814.64","1"
"1194134400000-128039968","2007-11-04T02:06:00Z","1221868800000-196","Tanisha","Best","9338 Et St.","Nampa","ID","82402","USA","Kathastrof","4545.11","1"
"1137801600000-161522189","2006-01-21T19:08:00Z","1113436800000-174","Emily","Harrell","Ap #781-6289 Felis Ave","Annapolis","MD","27209","USA","Hdcatly","4922.99","1"
"1393891200000-35620584","2014-03-04T21:19:00Z","1117065600000-303","Whilemina","Gilliam","Ap #901-9179 Faucibus Ave","Kapolei","HI","48528","USA","4ever_Bjk","6932.33","1"
"1189123200000-235085042","2007-09-07T23:32:00Z","1190592000000-412","Daphne","Higgins","P.O. Box 718 4931 Metus. Avenue","Portland","ME","67392","USA","RJcookiee","6940.57","1"
"1250985600000-232952330","2009-08-23T14:20:00Z","1145836800000-503","Lenore","Lara","1871 Nisi St.","Meridian","ID","78348","USA","felicialke","7346.83","1"
"1192924800000-228404891","2007-10-21T09:20:00Z","1298592000000-475","Allen","Tate","5603 Phasellus Av.","Georgia","GA","38686","USA","egistoch","5064.45","1"
"1178323200000-16450735","2007-05-05T04:39:00Z","1266451200000-533","Melyssa","Cline","881-210 Aliquet St.","Kailua","HI","48045","USA","krigaren13","6233.72","1"
"1338508800000-11885159","2012-06-01T18:43:00Z","1124841600000-143","Quinlan","Ware","5763 Nec Rd.","Pocatello","ID","35243","USA","Katherine_Jones","6812.76","1"
"1276041600000-178494437","2010-06-09T14:56:00Z","1123200000000-214","Risa","Chang","661-150 Tempor Rd.","Carson City","NV","57763","USA","sharonreader","7028.35","1"
"1303776000000-114111437","2011-04-26T07:12:00Z","1227916800000-303","Felicia","Hunt","614-3799 Commodo Rd.","Louisville","KY","49276","USA","Sakpol_SE","7545.07","1"
"1403568000000-53149564","2014-06-24T03:01:00Z","1312588800000-482","Caleb","Andrews","379-5709 Cursus Rd.","Newark","DE","34896","USA","brottsregering","7753.27","1"
"1137801600000-134938387","2006-01-21T13:38:00Z","1140825600000-577","Bethany","Mcbride","4683 Aliquam Av.","Gary","IN","67956","USA","amanda88715","5192.49","1"
"1144195200000-136840392","2006-04-05T14:12:00Z","1186272000000-664","Tamekah","Alexander","2564 Feugiat Avenue","Colorado Springs","CO","41161","USA","jonelf","7140.24","1"
"1148947200000-125325372","2006-05-30T11:34:00Z","1282780800000-468","Jamal","Moss","211-3060 Est St.","Dallas","TX","48224","USA","kkajsagdahl","7421.88","1"
"1262649600000-150806575","2010-01-05T21:47:00Z","1174003200000-461","Kai","Webster","Ap #302-5238 In Avenue","Indianapolis","IN","36577","USA","It4love","4682","1"
"1219017600000-241339903","2008-08-18T02:21:00Z","1206835200000-297","Lian","Romeira","145 1st Berry St","Burlington","NC","27215","USA","runsammrun","6677.73","1"
"1241481600000-126907793","2009-05-05T23:01:00Z","1288742400000-10","Chelsea","Dorsey","4610 Vitae St.","Sacramento","CA","94632","USA","mattcarl84","3718.53","1"
"1409875200000-130812199","2014-09-05T21:28:00Z","1180137600000-604","Deirdre","Estrada","797-1155 Lacus. Rd.","South Portland","ME","62223","USA","jfdanderfer","6977.34","1"
"1285286400000-151446648","2010-09-24T14:25:00Z","1104969600000-354","Walker","Wooten","214-3933 Libero St.","Denver","CO","54524","USA","SxCiiSaMii3","4984.02","1"
"1178323200000-194822812","2007-05-05T08:02:00Z","1181001600000-271","Dulciana","Loretta","74 Foggy Barn Cl","Athens","GA","30601","USA","pieerparem","4136.06","1"
"1217462400000-38329358","2008-07-31T15:16:00Z","1127088000000-600","Sybil","Kidd","P.O. Box 166 9219 Aliquam Avenue","Rutland","VT","28997","USA","Yaevna__Huimye","6672.52","1"
"1264896000000-83128247","2010-01-31T21:28:00Z","1184976000000-28","Mechelle","Flynn","987-8285 Turpis St.","Omaha","NE","58197","USA","AliyeYT","4983.24","1"
"1320624000000-52292446","2011-11-07T08:42:00Z","1228867200000-334","Aquila","Blackburn","P.O. Box 278 2243 Aliquet Avenue","Virginia Beach","VA","47045","USA","gamalcastaneda","9703.94","1"
"1180224000000-3599277","2007-05-27T16:01:00Z","1141948800000-544","Basil","Hebert","118 Easy Brook Rd","Beloit","WI","53511","USA","jaygeek","5685.83","1"
"1342137600000-211548777","2012-07-13T15:43:00Z","1208908800000-526","Oprah","Wise","236-4067 Ac Rd.","Seattle","WA","48012","USA","KolaysMode","5856.66","1"
"1326758400000-138613068","2012-01-17T20:09:00Z","1185840000000-264","Ocean","Delaney","6948 Cras Avenue","Springfield","MO","98707","USA","MartinBosaz","8271.13","1"
"1204329600000-110365258","2008-03-01T05:51:00Z","1191196800000-574","Aubrey","Tran","550-4535 A Rd.","Grand Island","NE","46510","USA","subpasek","5254.29","1"
"1262649600000-136275619","2010-01-05T03:51:00Z","1232236800000-411","MacKensie","Campbell","Ap #753-7700 At Rd.","Butte","MT","58610","USA","AndresValenzia","4979.52","1"
"1264291200000-38340696","2010-01-24T04:12:00Z","1266710400000-381","Japheth","Tibu","138 Cotton Anchor Bypa","Passaic","NJ","7055","USA","brenhillspeaks","4976.44","1"
"1349222400000-210766068","2012-10-03T12:28:00Z","1135900800000-170","Illana","Golden","Ap #404-5171 Faucibus Avenue","Missoula","MT","87785","USA","dokitweets","5361.56","1"
"1232064000000-36136982","2009-01-16T19:36:00Z","1212710400000-116","Mercedes","Bradford","P.O. Box 741 2756 Et Av.","Joliet","IL","68776","USA","josegreypm","5941.32","1"
"1160352000000-121498803","2006-10-09T01:51:00Z","1179360000000-639","Ava","Bender","Ap #658-2936 Est Ave","Saint Paul","MN","54764","USA","kartal145389","8017.97","1"
"1238803200000-46913658","2009-04-04T08:55:00Z","1246924800000-317","Cade","Woods","3415 Ullamcorper. Avenue","Bloomington","MN","94004","USA","wahlundfelicia","6400.5","1"
"1194134400000-118111812","2007-11-04T17:47:00Z","1165363200000-323","Malachi","Deleon","737-144 Dictum. Road","Salem","OR","49281","USA","niemann_felix","6604.03","1"
"1129680000000-136249093","2005-10-19T13:05:00Z","1106265600000-2","Lawrence","Mathis","P.O. Box 931 4348 Adipiscing Rd.","Laramie","WY","23969","USA","EllinorJohanss6","4135.67","1"
"1168387200000-56026226","2007-01-10T02:24:00Z","1143849600000-67","Oprah","Gamble","Ap #519-9880 Semper Street","Pocatello","ID","90077","USA","lylmarie_","5055.46","1"
"1150416000000-242388086","2006-06-16T03:00:00Z","1115769600000-386","Talon","Kelley","P.O. Box 545 3232 Vitae Av.","Jonesboro","AR","72362","USA","cengizatayurt","5852.09","1"
"1372032000000-21157439","2013-06-24T18:12:00Z","1204329600000-23","Raja","Wooten","P.O. Box 810 194 Dui Rd.","North Las Vegas","NV","80660","USA","AklimdakiSes","5074.73","1"
"1238803200000-166258404","2009-04-04T12:09:00Z","1120867200000-202","Madonna","Gilmore","Ap #152-5759 Nullam Road","Provo","UT","55940","USA","FannyGardman","5428.56","1"
"1365811200000-109029056","2013-04-13T16:06:00Z","1253404800000-173","Orli","Norris","P.O. Box 252 1759 Tortor. Avenue","West Valley City","UT","36753","USA","gitmemujgan","4833.27","1"
"1260662400000-229853959","2009-12-13T15:45:00Z","1363392000000-450","Amelia","Hayden","4498 Aliquam Rd.","Sacramento","CA","92655","USA","JENNIEL3","6874.67","1"
"1319241600000-151191218","2011-10-22T15:18:00Z","1108080000000-288","Darrel","Aguirre","P.O. Box 680 9844 Orci Rd.","South Bend","IN","37817","USA","axe989","9757.87","1"
"1137801600000-2271559","2006-01-21T01:48:00Z","1215388800000-71","Lisandra","Bright","525-189 Auctor Rd.","Baton Rouge","LA","21245","USA","stefancoisson","4938.58","1"
"1141171200000-221559733","2006-03-01T18:45:00Z","1131148800000-203","Jin","Dalton","P.O. Box 700 8377 Ad Ave","Bellevue","WA","60865","USA","","4186.69","1"
"1408406400000-2667542","2014-08-19T18:52:00Z","1138320000000-15","Glenna","Horne","791-1000 Eget Road","Toledo","OH","70921","USA","KrystianKumiere","6708.73","1"
"1124409600000-17030202","2005-08-19T10:12:00Z","1139961600000-283","Kasimir","Baker","2711 Integer St.","Springdale","AR","71044","USA","chasemills20","8375.33","1"
"1189728000000-142912829","2007-09-14T12:41:00Z","1139875200000-20","Imani","Potter","Ap #395-5229 Tempus Av.","Chandler","AZ","85513","USA","ollecarlzzon","2470.73","1"
"1264896000000-57573719","2010-01-31T19:31:00Z","1278892800000-173","Kaye","Greer","Ap #797-3163 Magna. Rd.","Springdale","AR","72630","USA","mylhaneg","6210.47","1"
"1276041600000-142766371","2010-06-09T10:02:00Z","1142985600000-17","Dorian","Singleton","5351 Tellus. Rd.","Grand Rapids","MI","93256","USA","marcelo876964","4790.44","1"
"1403568000000-9193220","2014-06-24T01:56:00Z","1180224000000-611","Maxwell","Burnett","P.O. Box 946 7589 Vivamus Ave","Provo","UT","46281","USA","honeymustaaaard","5356.93","1"
"1346371200000-109739111","2012-08-31T22:07:00Z","1198886400000-426","Vanna","Skinner","P.O. Box 220 3849 Diam. Rd.","Salem","OR","89730","USA","Hiunlu__Daawtu","6342.09","1"
"1427155200000-97737033","2015-03-24T09:44:00Z","1252281600000-22","Alfreda","Sharpe","P.O. Box 124 358 Neque. Street","Annapolis","MD","74391","USA","WorldSoccerFans","8496.49","1"
"1349222400000-44656788","2012-10-03T07:36:00Z","1278374400000-17","Oscar","Faulkner","P.O. Box 982 9885 Arcu. Ave","Toledo","OH","71084","USA","EmilN91","7266.5","1"
"1268438400000-5249039","2010-03-13T15:41:00Z","1154217600000-122","Nola","Glass","P.O. Box 253 4955 Consequat Avenue","Independence","MO","31266","USA","HaleeDawn87","6907.41","1"
"1148947200000-185715525","2006-05-30T02:21:00Z","1137196800000-258","Quail","Mccormick","629-4887 Aliquam Street","Houston","TX","24704","USA","A_Perezz","6115.57","1"
"1164844800000-228213415","2006-11-30T12:05:00Z","1162512000000-285","Jael","Landry","P.O. Box 420 9833 Elementum Road","Hartford","CT","22913","USA","vikingstennek","5396.11","1"
"1388793600000-91533234","2014-01-04T09:33:00Z","1306368000000-65","Zenia","Crosby","Ap #443-7389 Sem Rd.","Baton Rouge","LA","98454","USA","xcbrsa","3729.72","1"
"1260662400000-267828487","2009-12-13T16:05:00Z","1242000000000-53","Mallory","Parsons","2029 Odio Rd.","Memphis","TN","89151","USA","MichaelOwenTx","9357.57","1"
"1164844800000-12262671","2006-11-30T15:30:00Z","1258329600000-466","Haviva","Ferguson","5180 Blandit St.","South Portland","ME","83431","USA","Ekokocken","4862.79","1"
"1219017600000-28133690","2008-08-18T02:52:00Z","1333843200000-495","Ernestine","Roseuw","185 131st Autumn Rd","Passadena","CA","91109","USA","KyleThatKyle","8414.18","1"
"1306972800000-219796680","2011-06-02T19:23:00Z","1350432000000-157","Keane","Valencia","8295 Orci. St.","Waterbury","CT","97248","USA","inganjilaly","6744.55","1"
"1232064000000-72603127","2009-01-16T05:59:00Z","1225756800000-534","Rachel","Talley","P.O. Box 908 8843 Orci Rd.","New Haven","CT","10695","USA","hannahhlinnea","11094.15","1"
"1260662400000-51526510","2009-12-13T22:16:00Z","1254355200000-400","Nichole","Walsh","8918 Luctus Road","Hillsboro","OR","12207","USA","proudofmendes_","4668.93","1"
"1241481600000-83480611","2009-05-05T05:38:00Z","1163980800000-112","Connor","Bradley","627-7481 Ligula Street","Lexington","KY","45588","USA","burcutemurrr","5707.75","1"
"1160352000000-140524430","2006-10-09T22:21:00Z","1280707200000-125","Lana","Berg","Ap #705-2036 Tellus St.","Meridian","ID","38170","USA","KimFrenan","6695.83","1"
"1144195200000-208035766","2006-04-05T02:28:00Z","1232236800000-397","Portia","Herrera","P.O. Box 403 8794 Duis Ave","Chesapeake","VA","20069","USA","showVilC_4ee","5201.56","1"
"1246320000000-186398877","2009-06-30T23:40:00Z","1296864000000-161","April","Bond","9359 At St.","Columbia","MD","68232","USA","shlstrm","4855.74","1"
"1301443200000-89198969","2011-03-30T09:11:00Z","1120262400000-471","Adrian","Conrad","P.O. Box 905 1920 Tristique Street","Hillsboro","OR","20587","USA","leahwahab","3089.73","1"
"1115683200000-256372680","2005-05-10T05:32:00Z","1106611200000-237","Callie","Sellers","4480 Dapibus Rd.","Chesapeake","VA","47997","USA","SitUpfront","5544.69","1"
"1418342400000-7565392","2014-12-12T20:56:00Z","1107302400000-695","Phillip","Lara","8316 Feugiat Road","Boise","ID","36501","USA","kurt_johansson","5949.72","1"
"1406073600000-32007428","2014-07-23T16:05:00Z","1118361600000-512","Ocean","Singleton","6985 Commodo St.","Wilmington","DE","11181","USA","Huarpa__Xuujlo","7983.45","1"
"1366848000000-166722270","2013-04-25T17:18:00Z","1190505600000-98","Asher","Wong","9211 Integer Rd.","Rock Springs","WY","44448","USA","LovaticsRule92","8229.5","1"
"1292889600000-105672407","2010-12-21T19:27:00Z","1126828800000-336","Octavius","Atkins","2605 Sollicitudin St.","Detroit","MI","61595","USA","BoetieBeila","5102.86","1"
"1262649600000-37008722","2010-01-05T10:34:00Z","1376870400000-479","Wayne","Gross","5518 Nunc St.","Milwaukee","WI","38017","USA","mmorgan24","4806.73","1"
"1203033600000-155999408","2008-02-15T14:27:00Z","1117152000000-695","Alvin","Berry","P.O. Box 473 6751 Phasellus Rd.","Meridian","ID","78503","USA","BooCake_Dark","5790.39","1"
"1303776000000-177975624","2011-04-26T18:10:00Z","1117929600000-188","Zachery","Huber","P.O. Box 561 8646 Sem Avenue","Clarksville","TN","92995","USA","silkymoll","6393.53","1"
"1147996800000-56150522","2006-05-19T09:20:00Z","1161388800000-300","Nina","Vinson","P.O. Box 350 9137 Ipsum Rd.","Augusta","ME","60988","USA","kylemil75733461","9351.5","1"
"1250467200000-156278893","2009-08-17T23:15:00Z","1304985600000-486","Kibo","Reynolds","P.O. Box 116 2907 Egestas. St.","Racine","WI","74188","USA","CabreraMartinez","4511.11","1"
"1124409600000-28695942","2005-08-19T14:53:00Z","1158537600000-461","John","Robinson","Ap #362-6175 Mattis Ave","Flint","MI","85475","USA","lmecoy","7078.3","1"
"1306972800000-9608665","2011-06-02T01:01:00Z","1234828800000-282","Zeph","Miranda","711-7015 Morbi St.","Covington","KY","77522","USA","michelle98t","6183.18","1"
"1338508800000-39196362","2012-06-01T11:20:00Z","1156982400000-448","Virginia","Pitts","Ap #985-5877 Aliquam Rd.","San Antonio","TX","85678","USA","usa759002","8975.1","1"
"1132790400000-122513606","2005-11-24T11:24:00Z","1151798400000-415","Dante","Gordon","234-3191 Ultricies St.","Kearney","NE","28250","USA","sundqvistjonna","6190.2","1"
"1319241600000-38468574","2011-10-22T20:30:00Z","1167350400000-673","Hope","Bauer","Ap #530-8250 Ridiculus Ave","Boise","ID","10958","USA","Sean_Mosher","4412","1"
"1132790400000-169587675","2005-11-24T09:31:00Z","1181088000000-18","Dara","Yates","1713 Purus Ave","Hillsboro","OR","13797","USA","mschaffer","4118.57","1"
"1338508800000-254135956","2012-06-01T10:57:00Z","1341705600000-115","Allen","Fields","58 Foggy Apple Hwy","Utica","NY","13504","USA","Geeksplace","6056.07","1"
"1338508800000-249123242","2012-06-01T04:26:00Z","1118620800000-600","Linus","Young","164 Cozy Anchor Rd","Addison","IL","60101","USA","scottylago","3683.16","1"
"1268438400000-158664400","2010-03-13T09:29:00Z","1107216000000-298","Oleg","Noble","3244 Proin Ave","Rochester","MN","79358","USA","LuLu_1905","6590.33","1"
"1137801600000-183820554","2006-01-21T11:56:00Z","1156377600000-328","Patrick","Jacobs","Ap #163-1842 Integer St.","North Las Vegas","NV","64773","USA","underligt","3808.16","1"
